OBJECTID,DEPARTAMEN,PROVINCIA,DISTRITO,CAPITAL,POBTOTAL,PPOBTOTAL,POBRURAL,PPOBRURAL,POBURBANA,PPOBURBAN,VIV_TOT,PVIVTOT,VIVRURAL,PVIVRUR,VIVURBANA,PVIVURBAN,INDIRURAL,PINDIRUR,AFRORURAL,PAFRORUR,INDIURBAN,PINDIURB,AFROURBAN,PAFROURB,PORURCNBI,PPORUCNBI,VIRURCNBI,PVIRUCNBI,HORURCNBI,PHORUCNBI,MURURCNBI,PMURUCNBI,INDRUCNBI,AFRRUCNBI,RESRUCNBI,PRUPRUNBI,TOTINDIGE,PPOBINDI,PINDRUNBI,TOTAFRO,PPOBAFRO,PAFRRUNBI,GID_3
534,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,OCCORO,1686,0.01,1686,100,0,0,968,0.01,968,100,0,0,1237,73.37,0,0,0,0,0,0,817,48.46,241,24.9,407,0.02,410,0.02,603,0,22,48.46,1237,73.37,48.75,0,0,0,PER.9.5.13_1
535,HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,HUAYACUNDO ARMA,448,0,448,100,0,0,242,0,242,100,0,0,289,64.51,0,0,0,0,0,0,127,28.35,23,9.5,56,0,71,0,62,0,41,28.35,289,64.51,21.45,0,0,0,PER.9.6.3_1
536,CUSCO,CUSCO,SANTIAGO,SANTIAGO,94756,0.32,2027,2.14,92729,97.86,24761,0.24,694,2.8,24067,97.2,1489,73.46,0,0,49437,53.31,15,0,986,48.64,217,31.27,493,0.03,493,0.03,678,0,33,48.64,50926,53.74,45.53,15,0.02,0,PER.8.7.6_1
537,APURIMAC,ANDAHUAYLAS,KISHUARA,KISHUARA,6023,0.02,6023,100,0,0,2619,0.03,2619,100,0,0,3822,63.46,0,0,0,0,0,0,2635,43.75,583,22.26,1310,0.07,1325,0.07,1499,0,247,43.75,3822,63.46,39.22,0,0,0,PER.3.2.8_1
538,HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,SANTO DOMINGO DE CAPILLAS,724,0,724,100,0,0,583,0.01,583,100,0,0,230,31.77,0,0,0,0,0,0,321,44.34,100,17.15,168,0.01,153,0.01,88,0,126,44.34,230,31.77,38.26,0,0,0,PER.9.6.15_1
539,CUSCO,CUSCO,WANCHAQ,WANCHAQ,58541,0.2,0,0,58541,100,18484,0.18,0,0,18484,100,0,0,0,0,24009,41.01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,24009,41.01,0,15,0.03,0,PER.8.7.8_1
540,HUANCAVELICA,HUAYTARA,HUAYTARA,HUAYTARA,2146,0.01,2146,100,0,0,1368,0.01,1368,100,0,0,929,43.29,20,0.93,0,0,0,0,613,28.56,177,12.94,291,0.02,322,0.02,257,4,163,28.56,929,43.29,27.66,20,0.93,20,PER.9.6.4_1
541,CUSCO,QUISPICANCHI,OCONGATE,OCONGATE,15223,0.05,11064,72.68,4159,27.32,5478,0.05,3838,70.06,1640,29.94,7794,70.44,0,0,2767,66.53,0,0,6674,60.32,1514,39.45,3319,0.18,3355,0.19,4417,0,9,60.32,10561,69.38,56.67,0,0,0,PER.8.12.9_1
542,JUNIN,CHUPACA,YANACANCHA,YANACANCHA,2578,0.01,2578,100,0,0,1012,0.01,1012,100,0,0,1617,62.72,0,0,0,0,0,0,1549,60.09,403,39.82,722,0.04,827,0.05,880,0,231,60.09,1617,62.72,54.42,0,0,0,PER.12.2.9_1
543,JUNIN,CHUPACA,TRES DE DICIEMBRE,TRES DE DICIEMBRE,2665,0.01,0,0,2665,100,993,0.01,0,0,993,100,0,0,0,0,859,32.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,32.23,0,0,0,0,PER.12.2.1_1
544,JUNIN,HUANCAYO,HUANCAN,HUANCAN,24830,0.08,1171,4.72,23659,95.28,7107,0.07,427,6.01,6680,93.99,573,48.93,0,0,10463,44.22,6,0,800,68.32,178,41.69,382,0.02,418,0.02,396,0,190,68.32,11036,44.45,69.11,6,0.02,0,PER.12.4.12_1
545,LIMA,LIMA,SAN ISIDRO,SAN ISIDRO,60735,0.21,0,0,60735,100,27626,0.27,0,0,27626,100,0,0,0,0,2099,3.46,594,0.09,0,0,0,0,0,0,0,0,0,0,0,0,2099,3.46,0,594,0.98,0,PER.15.1.31_1
546,LIMA,LIMA,MAGDALENA DEL MAR,MAGDALENA DEL MAR,60290,0.21,0,0,60290,100,22191,0.22,0,0,22191,100,0,0,0,0,3164,5.25,1247,0.18,0,0,0,0,0,0,0,0,0,0,0,0,3164,5.25,0,1247,2.07,0,PER.15.1.20_1
547,JUNIN,CHUPACA,SAN JUAN DE ISCOS,ISCOS,2228,0.01,2228,100,0,0,1036,0.01,1036,100,0,0,487,21.86,0,0,0,0,0,0,821,36.85,230,22.2,380,0.02,441,0.02,186,0,409,36.85,487,21.86,38.19,0,0,0,PER.12.2.7_1
548,LIMA,LIMA,SAN BORJA,SAN FRANCISCO DE BORJA,113247,0.39,0,0,113247,100,40356,0.4,0,0,40356,100,0,0,0,0,5451,4.81,1413,0.21,0,0,0,0,0,0,0,0,0,0,0,0,5451,4.81,0,1413,1.25,0,PER.15.1.30_1
549,LIMA,LIMA,LINCE,LINCE,54711,0.19,0,0,54711,100,21946,0.22,0,0,21946,100,0,0,0,0,3940,7.2,1300,0.19,0,0,0,0,0,0,0,0,0,0,0,0,3940,7.2,0,1300,2.38,0,PER.15.1.16_1
550,LIMA,LIMA,SANTIAGO DE SURCO,SANTIAGO DE SURCO,329152,1.12,0,0,329152,100,117669,1.16,0,0,117669,100,0,0,0,0,17057,5.18,6306,0.91,0,0,0,0,0,0,0,0,0,0,0,0,17057,5.18,0,6306,1.92,0,PER.15.1.40_1
551,HUANCAVELICA,TAYACAJA,SALCABAMBA,SALCABAMBA,3828,0.01,3828,100,0,0,2462,0.02,2462,100,0,0,2624,68.55,0,0,0,0,0,0,1945,50.81,447,18.16,977,0.05,968,0.05,1167,0,129,50.81,2624,68.55,44.47,0,0,0,PER.9.7.14_1
552,LIMA,YAUYOS,VITIS,VITIS,311,0,311,100,0,0,155,0,155,100,0,0,5,1.61,0,0,0,0,0,0,88,28.3,23,14.84,46,0,42,0,0,0,72,28.3,5,1.61,0,0,0,0,PER.16.9.32_1
553,LIMA,LIMA,PUEBLO LIBRE,PUEBLO LIBRE,83323,0.28,0,0,83323,100,30356,0.3,0,0,30356,100,0,0,0,0,5171,6.21,1529,0.22,0,0,0,0,0,0,0,0,0,0,0,0,5171,6.21,0,1529,1.84,0,
554,CALLAO,CALLAO,LA PUNTA,LA PUNTA,3829,0.01,0,0,3829,100,1466,0.01,0,0,1466,100,0,0,0,0,70,1.83,69,0.01,0,0,0,0,0,0,0,0,0,0,0,0,70,1.83,0,69,1.8,0,
555,SAN MARTIN,MOYOBAMBA,JEPELACIO,JEPELACIO,15377,0.05,8860,57.62,6517,42.38,5394,0.05,3230,59.88,2164,40.12,112,1.26,168,1.9,101,1.55,210,0.03,5940,67.04,1370,42.41,3033,0.17,2907,0.16,76,98,3786,67.04,213,1.39,67.86,378,2.46,58.33,PER.23.6.3_1
556,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,HUAMBO,2620,0.01,2620,100,0,0,1372,0.01,1372,100,0,0,2,0.08,43,1.64,0,0,0,0,760,29.01,190,13.85,388,0.02,372,0.02,0,9,564,29.01,2,0.08,0,43,1.64,20.93,PER.1.6.3_1
557,LAMBAYEQUE,LAMBAYEQUE,PACORA,PACORA,8060,0.03,4117,51.08,3943,48.92,2467,0.02,1144,46.37,1323,53.63,20,0.49,328,7.97,69,1.75,336,0.05,2552,61.99,545,47.64,1275,0.07,1277,0.07,8,159,1525,61.99,89,1.1,40,664,8.24,48.48,PER.14.3.9_1
558,AMAZONAS,CHACHAPOYAS,LA JALCA,LA JALCA,3978,0.01,1588,39.92,2390,60.08,2883,0.03,2123,73.64,760,26.36,346,21.79,35,2.2,480,20.08,42,0.01,681,42.88,155,7.3,338,0.02,343,0.02,136,11,291,42.88,826,20.76,39.31,77,1.94,31.43,PER.1.3.9_1
559,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,LIMABAMBA,2280,0.01,2280,100,0,0,1109,0.01,1109,100,0,0,1,0.04,6,0.26,0,0,0,0,984,43.16,257,23.17,524,0.03,460,0.03,0,2,700,43.16,1,0.04,0,6,0.26,33.33,PER.1.6.4_1
560,LORETO,MAYNAS,SAN JUAN BAUTISTA,SAN JUAN,127005,0.43,13388,10.54,113617,89.46,36641,0.36,4701,12.83,31940,87.17,56,0.42,473,3.53,2247,1.98,2786,0.4,9602,71.72,2128,45.27,4969,0.27,4633,0.26,35,339,5731,71.72,2303,1.81,62.5,3259,2.57,71.67,
561,LORETO,MAYNAS,IQUITOS,IQUITOS,146853,0.5,1783,1.21,145070,98.79,32201,0.32,609,1.89,31592,98.11,14,0.79,11,0.62,2539,1.75,3032,0.44,1525,85.53,359,58.95,792,0.04,733,0.04,10,9,963,85.53,2553,1.74,71.43,3043,2.07,81.82,PER.17.4.4_1
562,TUMBES,TUMBES,PAMPAS DE HOSPITAL,PAMPAS DE HOSPITAL,6728,0.02,3063,45.53,3665,54.47,2597,0.03,1199,46.17,1398,53.83,8,0.26,327,10.68,32,0.87,272,0.04,1546,50.47,387,32.28,748,0.04,798,0.04,0,131,946,50.47,40,0.59,0,599,8.9,40.06,PER.25.2.3_1
563,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,ZORRITOS,12371,0.04,458,3.7,11913,96.3,4725,0.05,374,7.92,4351,92.08,8,1.75,45,9.83,248,2.08,1115,0.16,268,58.52,67,17.91,141,0.01,127,0.01,2,33,171,58.52,256,2.07,25,1160,9.38,73.33,PER.25.1.2_1
564,TUMBES,TUMBES,SAN JACINTO,SAN JACINTO,8512,0.03,1417,16.65,7095,83.35,3109,0.03,534,17.18,2575,82.82,1,0.07,30,2.12,22,0.31,448,0.07,1112,78.48,328,61.42,591,0.03,521,0.03,0,24,857,78.48,23,0.27,0,478,5.62,80,PER.25.2.4_1
565,AMAZONAS,BAGUA,LA PECA,LA PECA,6260,0.02,2335,37.3,3925,62.7,2155,0.02,846,39.26,1309,60.74,8,0.34,92,3.94,44,1.12,127,0.02,1508,64.58,363,42.91,798,0.04,710,0.04,8,66,992,64.58,52,0.83,100,219,3.5,71.74,PER.1.1.5_1
566,TUMBES,ZARUMILLA,MATAPALO,MATAPALO,3428,0.01,548,15.99,2880,84.01,1133,0.01,184,16.24,949,83.76,1,0.18,79,14.42,45,1.56,82,0.01,318,58.03,82,44.57,189,0.01,129,0.01,0,36,172,58.03,46,1.34,0,161,4.7,45.57,PER.25.3.2_1
567,TUMBES,TUMBES,LA CRUZ,CALETA CRUZ,9507,0.03,492,5.18,9015,94.82,3473,0.03,209,6.02,3264,93.98,4,0.81,51,10.37,145,1.61,851,0.12,214,43.5,53,25.36,110,0.01,104,0.01,3,23,122,43.5,149,1.57,75,902,9.49,45.1,PER.25.2.2_1
568,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,DAGUAS,295,0,295,100,0,0,160,0,160,100,0,0,4,1.36,1,0.34,0,0,0,0,99,33.56,29,18.13,48,0,51,0,2,0,76,33.56,4,1.36,50,1,0.34,0,PER.1.3.18_1
569,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,SANTO DOMINGO DE LA CAPILLA,4701,0.02,4701,100,0,0,1729,0.02,1729,100,0,0,19,0.4,70,1.49,0,0,0,0,3764,80.07,1047,60.56,1916,0.1,1848,0.1,2,65,2763,80.07,19,0.4,10.53,70,1.49,92.86,PER.6.6.12_1
570,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,MARISCAL BENAVIDES,1506,0.01,1506,100,0,0,575,0.01,575,100,0,0,2,0.13,62,4.12,0,0,0,0,428,28.42,94,16.35,212,0.01,216,0.01,0,39,279,28.42,2,0.13,0,62,4.12,62.9,PER.1.6.6_1
571,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CHACHAPOYAS,32589,0.11,563,1.73,32026,98.27,9664,0.1,285,2.95,9379,97.05,25,4.44,10,1.78,1779,5.55,807,0.12,247,43.87,77,27.02,125,0.01,122,0.01,19,8,158,43.87,1804,5.54,76,817,2.51,80,PER.1.3.3_1
572,CAJAMARCA,CUTERVO,LA RAMADA,LA RAMADA,3652,0.01,3652,100,0,0,1566,0.02,1566,100,0,0,25,0.68,305,8.35,0,0,0,0,2571,70.4,641,40.93,1302,0.07,1269,0.07,12,237,1621,70.4,25,0.68,48,305,8.35,77.7,PER.6.6.5_1
573,AMAZONAS,LUYA,LONYA CHICO,LONYA CHICO,842,0,842,100,0,0,353,0,353,100,0,0,11,1.31,3,0.36,0,0,0,0,338,40.14,68,19.26,183,0.01,155,0.01,1,2,239,40.14,11,1.31,9.09,3,0.36,66.67,PER.1.5.8_1
574,SAN MARTIN,LAMAS,TABALOSOS,TABALOSOS,13879,0.05,4043,29.13,9836,70.87,4102,0.04,1255,30.59,2847,69.41,322,7.96,150,3.71,342,3.48,374,0.05,2660,65.79,580,46.22,1382,0.08,1278,0.07,149,91,1441,65.79,664,4.78,46.27,524,3.78,60.67,PER.23.4.10_1
575,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,SANTA ROSA,1983,0.01,1983,100,0,0,787,0.01,787,100,0,0,329,16.59,0,0,0,0,0,0,502,25.32,104,13.21,247,0.01,255,0.01,75,0,280,25.32,329,16.59,22.8,0,0,0,PER.12.3.15_1
576,LIMA,LIMA,SANTA ROSA,SANTA ROSA,27863,0.09,0,0,27863,100,14389,0.14,0,0,14389,100,0,0,0,0,3741,13.43,805,0.12,0,0,0,0,0,0,0,0,0,0,0,0,3741,13.43,0,805,2.89,0,PER.15.1.39_1
577,JUNIN,JAUJA,ATAURA,ATAURA,1264,0,1264,100,0,0,487,0,487,100,0,0,187,14.79,0,0,0,0,0,0,510,40.35,96,19.71,254,0.01,256,0.01,76,0,292,40.35,187,14.79,40.64,0,0,0,PER.12.5.3_1
578,LIMA,HUAROCHIRI,CALLAHUANCA,CALLAHUANCA,798,0,798,100,0,0,406,0,406,100,0,0,73,9.15,10,1.25,0,0,0,0,255,31.95,54,13.3,128,0.01,127,0.01,39,6,144,31.95,73,9.15,53.42,10,1.25,60,PER.16.6.2_1
579,JUNIN,JAUJA,YAUYOS,YAUYOS,8992,0.03,355,3.95,8637,96.05,2811,0.03,282,10.03,2529,89.97,106,29.86,0,0,1580,18.29,0,0,91,25.63,20,7.09,38,0,53,0,26,0,41,25.63,1686,18.75,24.53,0,0,0,PER.12.5.34_1
580,JUNIN,JAUJA,LLOCLLAPAMPA,LLOCLLAPAMPA,1143,0,1143,100,0,0,731,0.01,731,100,0,0,236,20.65,0,0,0,0,0,0,401,35.08,83,11.35,205,0.01,196,0.01,94,0,210,35.08,236,20.65,39.83,0,0,0,PER.12.5.14_1
581,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,SAN JUAN DE RONTOY,1158,0,1158,100,0,0,694,0.01,694,100,0,0,88,7.6,0,0,0,0,0,0,713,61.57,132,19.02,352,0.02,361,0.02,33,0,412,61.57,88,7.6,37.5,0,0,0,PER.2.2.6_1
582,ANCASH,HUARI,CAJAY,CAJAY,2573,0.01,2573,100,0,0,1118,0.01,1118,100,0,0,1429,55.54,0,0,0,0,0,0,1088,42.29,225,20.13,533,0.03,555,0.03,579,0,154,42.29,1429,55.54,40.52,0,0,0,PER.2.10.2_1
583,ANCASH,ANTONIO RAYMONDI,ACZO,ACZO,1918,0.01,1918,100,0,0,876,0.01,876,100,0,0,1313,68.46,0,0,0,0,0,0,569,29.67,119,13.58,259,0.01,310,0.02,356,0,13,29.67,1313,68.46,27.11,0,0,0,PER.2.2.1_1
584,HUANUCO,HUAMALIES,MONZON,MONZON,12368,0.04,5832,47.15,6536,52.85,6079,0.06,3673,60.42,2406,39.58,1769,30.33,119,2.04,1592,24.36,234,0.03,3741,64.15,1136,30.93,1911,0.1,1830,0.1,1184,76,1440,64.15,3361,27.17,66.93,353,2.85,63.87,PER.10.4.7_1
585,AMAZONAS,CHACHAPOYAS,MAGDALENA,MAGDALENA,852,0,852,100,0,0,509,0.01,509,100,0,0,31,3.64,9,1.06,0,0,0,0,312,36.62,83,16.31,163,0.01,149,0.01,9,3,209,36.62,31,3.64,29.03,9,1.06,33.33,PER.1.3.12_1
586,AMAZONAS,LUYA,LONGUITA,LONGUITA,839,0,839,100,0,0,323,0,323,100,0,0,9,1.07,2,0.24,0,0,0,0,463,55.18,108,33.44,242,0.01,221,0.01,0,2,296,55.18,9,1.07,0,2,0.24,100,PER.1.5.7_1
587,SAN MARTIN,SAN MARTIN,SAN ANTONIO,SAN ANTONIO,1674,0.01,1674,100,0,0,684,0.01,684,100,0,0,37,2.21,153,9.14,0,0,0,0,622,37.16,133,19.44,306,0.02,316,0.02,9,55,390,37.16,37,2.21,24.32,153,9.14,35.95,PER.23.9.11_1
588,CAJAMARCA,CHOTA,CHIMBAN,CHIMBAN,2199,0.01,2199,100,0,0,953,0.01,953,100,0,0,3,0.14,53,2.41,0,0,0,0,1266,57.57,263,27.6,610,0.03,656,0.04,1,21,786,57.57,3,0.14,33.33,53,2.41,39.62,PER.6.4.5_1
589,CAJAMARCA,CHOTA,MIRACOSTA,MIRACOSTA,3203,0.01,3203,100,0,0,1110,0.01,1110,100,0,0,112,3.5,36,1.12,0,0,0,0,2967,92.63,813,73.24,1511,0.08,1456,0.08,108,33,2006,92.63,112,3.5,96.43,36,1.12,91.67,PER.6.4.13_1
590,CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,SAN LUIS DE LUCMA,3000,0.01,3000,100,0,0,1256,0.01,1256,100,0,0,1,0.03,3,0.1,0,0,0,0,1488,49.6,368,29.3,739,0.04,749,0.04,0,0,1066,49.6,1,0.03,0,3,0.1,0,PER.6.6.10_1
591,CAJAMARCA,CUTERVO,SOCOTA,SOCOTA,9054,0.03,6356,70.2,2698,29.8,3756,0.04,2609,69.46,1147,30.54,1,0.02,878,13.81,22,0.82,103,0.01,4232,66.58,1036,39.71,2103,0.11,2129,0.12,0,565,2520,66.58,23,0.25,0,981,10.83,64.35,PER.6.6.14_1
592,AMAZONAS,LUYA,INGUILPATA,INGUILPATA,498,0,498,100,0,0,275,0,275,100,0,0,0,0,0,0,0,0,0,0,169,33.94,42,15.27,85,0,84,0,0,0,134,33.94,0,0,0,0,0,0,PER.1.5.5_1
593,AMAZONAS,CHACHAPOYAS,HUANCAS,HUANCAS,1258,0,1258,100,0,0,215,0,215,100,0,0,250,19.87,19,1.51,0,0,0,0,130,10.33,27,12.56,60,0,70,0,36,2,61,10.33,250,19.87,14.4,19,1.51,10.53,PER.1.3.8_1
594,SAN MARTIN,SAN MARTIN,PAPAPLAYA,PAPAPLAYA,2073,0.01,2073,100,0,0,765,0.01,765,100,0,0,232,11.19,21,1.01,0,0,0,0,1322,63.77,290,37.91,660,0.04,662,0.04,158,16,608,63.77,232,11.19,68.1,21,1.01,76.19,PER.23.9.10_1
595,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,VISTA ALEGRE,2812,0.01,2812,100,0,0,977,0.01,977,100,0,0,54,1.92,80,2.84,0,0,0,0,2393,85.1,611,62.54,1251,0.07,1142,0.06,21,63,1490,85.1,54,1.92,38.89,80,2.84,78.75,PER.11.3.5_1
596,SAN MARTIN,LAMAS,PINTO RECODO,PINTO RECODO,8086,0.03,5870,72.59,2216,27.41,2344,0.02,1763,75.21,581,24.79,682,11.62,161,2.74,133,6,42,0.01,3888,66.24,880,49.91,1993,0.11,1895,0.1,324,116,2105,66.24,815,10.08,47.51,203,2.51,72.05,PER.23.4.6_1
597,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,MOTUPE,29836,0.1,13561,45.45,16275,54.55,9689,0.1,5016,51.77,4673,48.23,412,3.04,1198,8.83,534,3.28,983,0.14,10175,75.03,2490,49.64,5160,0.28,5015,0.28,300,815,6002,75.03,946,3.17,72.82,2181,7.31,68.03,PER.14.3.7_1
598,CAJAMARCA,CUTERVO,SANTO TOMAS,SANTO TOMAS,6988,0.02,6988,100,0,0,2809,0.03,2809,100,0,0,11,0.16,30,0.43,0,0,0,0,3810,54.52,849,30.22,1949,0.11,1861,0.1,6,7,2658,54.52,11,0.16,54.55,30,0.43,23.33,PER.6.6.13_1
599,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CHILIQUIN,585,0,585,100,0,0,308,0,308,100,0,0,1,0.17,9,1.54,0,0,0,0,254,43.42,70,22.73,128,0.01,126,0.01,0,2,179,43.42,1,0.17,0,9,1.54,22.22,PER.1.3.5_1
600,AMAZONAS,BONGARA,CHURUJA,CHURUJA,287,0,287,100,0,0,117,0,117,100,0,0,1,0.35,2,0.7,0,0,0,0,103,35.89,20,17.09,53,0,50,0,1,0,70,35.89,1,0.35,100,2,0.7,0,PER.1.2.2_1
601,SAN MARTIN,RIOJA,RIOJA,RIOJA,25521,0.09,1935,7.58,23586,92.42,9107,0.09,823,9.04,8284,90.96,60,3.1,3,0.16,655,2.78,877,0.13,1417,73.23,350,42.53,742,0.04,675,0.04,55,3,901,73.23,715,2.8,91.67,880,3.45,100,PER.23.8.6_1
602,LAMBAYEQUE,FERRE?ÊAFE,CAARIS,CAARIS,11366,0.04,11366,100,0,0,3197,0.03,3197,100,0,0,5698,50.13,17,0.15,0,0,0,0,9870,86.84,2200,68.81,4904,0.27,4966,0.27,4871,13,1424,86.84,5698,50.13,85.49,17,0.15,76.47,PER.14.2.1_1
603,CAJAMARCA,CUTERVO,PIMPINGOS,PIMPINGOS,5100,0.02,5100,100,0,0,1800,0.02,1800,100,0,0,1,0.02,28,0.55,0,0,0,0,3503,68.69,867,48.17,1838,0.1,1665,0.09,0,12,2506,68.69,1,0.02,0,28,0.55,42.86,PER.6.6.6_1
604,SAN MARTIN,MOYOBAMBA,CALZADA,CALZADA,4609,0.02,529,11.48,4080,88.52,1548,0.02,240,15.5,1308,84.5,2,0.38,0,0,15,0.37,19,0,448,84.69,121,50.42,237,0.01,211,0.01,1,0,334,84.69,17,0.37,50,19,0.41,0,PER.23.6.1_1
605,SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,SEGUNDA JERUSALEN-AZUNGUILLO,17661,0.06,2777,15.72,14884,84.28,4589,0.05,908,19.79,3681,80.21,302,10.88,4,0.14,305,2.05,688,0.1,1790,64.46,363,39.98,919,0.05,871,0.05,194,1,982,64.46,607,3.44,64.24,692,3.92,25,PER.23.8.2_1
606,SAN MARTIN,LAMAS,CAYNARACHI,PONGO DE CAYNARACHI,9546,0.03,3691,38.67,5855,61.33,2553,0.03,1005,39.37,1548,60.63,398,10.78,354,9.59,120,2.05,398,0.06,2694,72.99,589,58.61,1407,0.08,1287,0.07,304,250,1164,72.99,518,5.43,76.38,752,7.88,70.62,PER.23.4.3_1
607,AMAZONAS,UTCUBAMBA,LONYA GRANDE,LONYA GRANDE,10080,0.03,6254,62.04,3826,37.96,3384,0.03,2293,67.76,1091,32.24,330,5.28,251,4.01,137,3.58,53,0.01,3800,60.76,868,37.85,1995,0.11,1805,0.1,189,138,2305,60.76,467,4.63,57.27,304,3.02,54.98,PER.1.7.6_1
608,AMAZONAS,BONGARA,SAN CARLOS,SAN CARLOS,489,0,489,100,0,0,291,0,291,100,0,0,60,12.27,31,6.34,0,0,0,0,180,36.81,61,20.96,101,0.01,79,0,37,9,103,36.81,60,12.27,61.67,31,6.34,29.03,PER.1.2.9_1
609,LORETO,REQUENA,ALTO TAPICHE,SANTA ELENA,1515,0.01,1515,100,0,0,373,0,373,100,0,0,154,10.17,5,0.33,0,0,0,0,1250,82.51,250,67.02,643,0.04,607,0.03,153,5,631,82.51,154,10.17,99.35,5,0.33,100,PER.17.5.1_1
610,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION,262,0,262,100,0,0,141,0,141,100,0,0,78,29.77,0,0,0,0,0,0,68,25.95,14,9.93,37,0,31,0,5,0,39,25.95,78,29.77,6.41,0,0,0,PER.1.3.1_1
611,AMAZONAS,CHACHAPOYAS,OLLEROS,OLLEROS,375,0,375,100,0,0,165,0,165,100,0,0,16,4.27,14,3.73,0,0,0,0,113,30.13,24,14.55,56,0,57,0,7,6,74,30.13,16,4.27,43.75,14,3.73,42.86,PER.1.3.16_1
612,SAN MARTIN,RIOJA,POSIC,POSIC,1919,0.01,1919,100,0,0,726,0.01,726,100,0,0,3,0.16,14,0.73,0,0,0,0,1008,52.53,221,30.44,491,0.03,517,0.03,1,5,624,52.53,3,0.16,33.33,14,0.73,35.71,PER.23.8.5_1
613,AMAZONAS,UTCUBAMBA,YAMON,YAMON,2927,0.01,2927,100,0,0,1090,0.01,1090,100,0,0,0,0,10,0.34,0,0,0,0,2142,73.18,565,51.83,1122,0.06,1020,0.06,0,9,1555,73.18,0,0,0,10,0.34,90,PER.1.7.7_1
614,AMAZONAS,CONDORCANQUI,NIEVA,SANTA MARIA DE NIEVA,18626,0.06,14551,78.12,4075,21.88,6388,0.06,5311,83.14,1077,16.86,7610,52.3,105,0.72,1155,28.34,24,0,12379,85.07,2979,56.09,6272,0.34,6107,0.34,6697,30,481,85.07,8765,47.06,88,129,0.69,28.57,PER.1.4.2_1
615,LORETO,DATEM DEL MARA?ÊON,MANSERICHE,SARAMIRIZA,8421,0.03,5653,67.13,2768,32.87,1903,0.02,1211,63.64,692,36.36,1965,34.76,51,0.9,198,7.15,20,0,4832,85.48,966,79.77,2426,0.13,2406,0.13,1695,36,1061,85.48,2163,25.69,86.26,71,0.84,70.59,PER.17.1.6_1
616,LORETO,MARISCAL RAMON CASTILLA,YAVARI,AMELIA /14,8366,0.03,8366,100,0,0,2160,0.02,2160,100,0,0,703,8.4,43,0.51,0,0,0,0,6788,81.14,1408,65.19,3473,0.19,3315,0.18,537,30,3739,81.14,703,8.4,76.39,43,0.51,69.77,PER.17.3.4_1
617,LORETO,LORETO,PARINARI,PARINARI,6085,0.02,6085,100,0,0,1365,0.01,1365,100,0,0,1876,30.83,283,4.65,0,0,0,0,5195,85.37,1077,78.9,2665,0.15,2530,0.14,1613,231,1447,85.37,1876,30.83,85.98,283,4.65,81.63,PER.17.2.2_1
618,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,SAN FRANCISCO DEL YESO,695,0,695,100,0,0,480,0,480,100,0,0,2,0.29,0,0,0,0,0,0,348,50.07,86,17.92,177,0.01,171,0.01,0,0,227,50.07,2,0.29,0,0,0,0,PER.1.5.17_1
619,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,MOYOBAMBA,76325,0.26,18601,24.37,57724,75.63,24973,0.25,6511,26.07,18462,73.93,862,4.63,404,2.17,1667,2.89,1805,0.26,13555,72.87,3183,48.89,7028,0.38,6527,0.36,711,243,7735,72.87,2529,3.31,82.48,2209,2.89,60.15,PER.23.6.4_1
620,LORETO,DATEM DEL MARAON,BARRANCA,SAN LORENZO,12742,0.04,4196,32.93,8546,67.07,3581,0.04,1405,39.23,2176,60.77,779,18.57,23,0.55,757,8.86,82,0.01,4073,97.07,889,63.27,2055,0.11,2018,0.11,761,23,1722,97.07,1536,12.05,97.69,105,0.82,100,PER.17.1.2_1
621,AMAZONAS,UTCUBAMBA,CUMBA,CUMBA,7855,0.03,4811,61.25,3044,38.75,2955,0.03,1722,58.27,1233,41.73,30,0.62,365,7.59,70,2.3,141,0.02,3438,71.46,801,46.52,1790,0.1,1648,0.09,20,235,2067,71.46,100,1.27,66.67,506,6.44,64.38,PER.1.7.3_1
